budget,original_title,release_date,revenue,runtime,vote_average,actor1,actor2,actor3,director,genre,profit
190000000,Tomorrowland,2015-05-19,209154322,130.0,6.2,Britt Robertson,George Clooney,Raffey Cassidy,Brad Bird,Mystery,19.0
165000000,Big Hero 6,2014-10-24,652105443,102.0,7.8,Scott Adsit,Ryan Potter,Daniel Henney,Chris Williams,Adventure,487.0
165000000,Wreck-It Ralph,2012-11-01,471222889,108.0,7.1,John C. Reilly,Sarah Silverman,Jack McBrayer,Rich Moore,Adventure,306.0
165000000,The Polar Express,2004-11-10,305875730,100.0,6.4,Tom Hanks,Michael Jeter,Nona Gaye,Robert Zemeckis,Animation,141.0
165000000,Independence Day: Resurgence,2016-06-22,389681935,120.0,4.9,Liam Hemsworth,Jeff Goldblum,Bill Pullman,Roland Emmerich,Science Fiction,225.0
165000000,How to Train Your Dragon,2010-03-05,494878759,98.0,7.5,Jay Baruchel,Gerard Butler,Craig Ferguson,Chris Sanders,Family,330.0
200000000,Terminator 3: Rise of the Machines,2003-07-02,435000000,109.0,5.9,Arnold Schwarzenegger,Nick Stahl,Claire Danes,Jonathan Mostow,Action,235.0
170000000,Guardians of the Galaxy,2014-07-30,773328629,121.0,7.9,Chris Pratt,Zoe Saldana,Dave Bautista,James Gunn,Action,603.0
165000000,Interstellar,2014-11-05,675120017,169.0,8.1,Matthew McConaughey,Jessica Chastain,Anne Hathaway,Christopher Nolan,Adventure,510.0
160000000,Inception,2010-07-14,825532764,148.0,8.1,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Christopher Nolan,Mystery,666.0
15000000,シン・ゴジラ,2016-07-29,77000000,120.0,6.5,Hiroki Hasegawa,Yutaka Takenouchi,Satomi Ishihara,Hideaki Anno,Drama,62.0
250000000,The Hobbit: An Unexpected Journey,2012-11-26,1021103568,169.0,7.0,Ian McKellen,Martin Freeman,Richard Armitage,Peter Jackson,Adventure,771.0
38000000,The Fast and the Furious,2001-06-22,207283925,106.0,6.6,Paul Walker,Vin Diesel,Michelle Rodriguez,Rob Cohen,Action,169.0
150000000,The Curious Case of Benjamin Button,2008-11-24,333932083,166.0,7.3,Cate Blanchett,Brad Pitt,Tilda Swinton,David Fincher,Fantasy,184.0
160000000,X-Men: First Class,2011-05-24,353624124,132.0,7.1,James McAvoy,Michael Fassbender,Jennifer Lawrence,Matthew Vaughn,Action,194.0
160000000,The Hunger Games: Mockingjay - Part 2,2015-11-18,653428261,137.0,6.6,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Francis Lawrence,Action,493.0
150000000,The Sorcerer's Apprentice,2010-07-13,215283742,109.0,5.8,Nicolas Cage,Jay Baruchel,Monica Bellucci,Jon Turteltaub,Action,65.0
160000000,Poseidon,2006-05-12,181674817,99.0,5.5,Kurt Russell,Richard Dreyfuss,Josh Lucas,Wolfgang Petersen,Action,22.0
170000000,Alice Through the Looking Glass,2016-05-25,299370084,113.0,6.5,Johnny Depp,Mia Wasikowska,Anne Hathaway,James Bobin,Fantasy,129.0
160000000,Shrek the Third,2007-05-17,798958165,93.0,6.0,Mike Myers,Eddie Murphy,Cameron Diaz,Chris Miller,Adventure,639.0
160000000,Warcraft,2016-05-25,433677183,123.0,6.3,Paula Patton,Travis Fimmel,Ben Foster,Duncan Jones,Action,274.0
155000000,Terminator Genisys,2015-06-23,440603537,126.0,5.8,Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Alan Taylor,Action,286.0
155000000,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-08-13,415686217,113.0,6.2,Skandar Keynes,Georgie Henley,Simon Pegg,Michael Apted,Fantasy,261.0
140000000,Pearl Harbor,2001-05-21,449220945,183.0,6.6,Ben Affleck,Josh Hartnett,Kate Beckinsale,Michael Bay,Romance,309.0
150000000,Transformers,2007-06-27,709709780,144.0,6.6,Shia LaBeouf,Josh Duhamel,Megan Fox,Michael Bay,Action,560.0
155000000,Alexander,2004-11-21,167298192,175.0,5.6,Colin Farrell,Angelina Jolie,Val Kilmer,Oliver Stone,Drama,12.0
150000000,Harry Potter and the Order of the Phoenix,2007-06-28,938212738,138.0,7.4,Daniel Radcliffe,Rupert Grint,Emma Watson,David Yates,Family,788.0
150000000,Harry Potter and the Goblet of Fire,2005-11-05,895921036,157.0,7.5,Daniel Radcliffe,Rupert Grint,Emma Watson,Mike Newell,Fantasy,746.0
150000000,Hancock,2008-07-01,624029371,92.0,6.2,Will Smith,Charlize Theron,Jason Bateman,Peter Berg,Fantasy,474.0
150000000,I Am Legend,2007-12-14,585349010,101.0,6.9,Will Smith,Alice Braga,Charlie Tahan,Francis Lawrence,Action,435.0
150000000,Charlie and the Chocolate Factory,2005-07-13,474968763,115.0,6.7,Johnny Depp,Freddie Highmore,David Kelly,Tim Burton,Comedy,325.0
150000000,Ratatouille,2007-06-22,623722818,111.0,7.5,Patton Oswalt,Ian Holm,Lou Romano,Jan Pinkava,Animation,474.0
150000000,Batman Begins,2005-06-10,374218673,140.0,7.5,Christian Bale,Michael Caine,Liam Neeson,Christopher Nolan,Crime,224.0
150000000,Madagascar: Escape 2 Africa,2008-10-30,603900354,89.0,6.2,Ben Stiller,Jada Pinkett Smith,David Schwimmer,Eric Darnell,Family,454.0
150000000,Night at the Museum: Battle of the Smithsonian,2009-05-20,413106170,105.0,5.9,Ben Stiller,Amy Adams,Owen Wilson,Shawn Levy,Comedy,263.0
150000000,X-Men Origins: Wolverine,2009-04-28,373062864,107.0,6.2,Hugh Jackman,Liev Schreiber,Danny Huston,Gavin Hood,Adventure,223.0
150000000,The Matrix Revolutions,2003-11-05,424988211,129.0,6.4,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Lilly Wachowski,Science Fiction,275.0
150000000,Frozen,2013-11-27,1274219009,102.0,7.3,Kristen Bell,Idina Menzel,Jonathan Groff,Chris Buck,Family,1124.0
150000000,The Matrix Reloaded,2003-05-15,738599701,138.0,6.7,Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne,Lilly Wachowski,Adventure,589.0
170000000,Thor: The Dark World,2013-10-29,644571402,112.0,6.8,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Alan Taylor,Adventure,475.0
150000000,Mad Max: Fury Road,2015-05-13,378858340,120.0,7.2,Tom Hardy,Charlize Theron,Nicholas Hoult,George Miller,Science Fiction,229.0
150000000,Angels & Demons,2009-05-13,356613439,138.0,6.5,Tom Hanks,Ewan McGregor,Ayelet Zurer,Ron Howard,Mystery,207.0
150000000,Thor,2011-04-21,449326618,115.0,6.6,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Kenneth Branagh,Fantasy,299.0
150000000,Bolt,2008-11-21,309979994,98.0,6.3,John Travolta,Miley Cyrus,Susie Essman,Chris Williams,Animation,160.0
150000000,G-Force,2009-07-21,292817841,88.0,5.1,Sam Rockwell,Penélope Cruz,Tracy Morgan,Hoyt Yeatman,Adventure,143.0
150000000,Wrath of the Titans,2012-03-27,301000000,99.0,5.5,Sam Worthington,Liam Neeson,Ralph Fiennes,Jonathan Liebesman,Adventure,151.0
150000000,Dark Shadows,2012-05-08,245527149,113.0,5.7,Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter,Tim Burton,Fantasy,96.0
150000000,Mission: Impossible - Rogue Nation,2015-07-23,682330139,131.0,7.1,Tom Cruise,Rebecca Ferguson,Simon Pegg,Christopher McQuarrie,Action,532.0
150000000,The Wolfman,2010-02-11,0,102.0,5.5,Benicio del Toro,Anthony Hopkins,Emily Blunt,Joe Johnston,Horror,-150.0
150000000,Bee Movie,2007-10-28,287594577,91.0,5.7,Jerry Seinfeld,Renée Zellweger,Jim Cummings,Steve Hickner,Comedy,138.0
150000000,Kung Fu Panda 2,2011-05-25,665692281,91.0,6.7,Jack Black,Angelina Jolie,Dustin Hoffman,Jennifer Yuh Nelson,Animation,516.0
150000000,The Last Airbender,2010-06-30,318502923,103.0,4.7,Noah Ringer,Nicola Peltz,Jackson Rathbone,M. Night Shyamalan,Family,169.0
150000000,Mission: Impossible III,2006-05-03,397850012,126.0,6.5,Tom Cruise,Philip Seymour Hoffman,Ving Rhames,J.J. Abrams,Adventure,248.0
150000000,White House Down,2013-06-27,205366737,131.0,6.4,Channing Tatum,Jamie Foxx,Joey King,Roland Emmerich,Drama,55.0
150000000,Mars Needs Moms,2011-03-09,38992758,88.0,5.5,Seth Green,Joan Cusack,Dan Fogler,Simon Wells,Family,-111.0
149000000,Flushed Away,2006-10-22,64459316,85.0,6.0,Hugh Jackman,Kate Winslet,Ian McKellen,David Bowers,Family,-85.0
150000000,Pan,2015-09-24,128388320,111.0,5.9,Levi Miller,Garrett Hedlund,Hugh Jackman,Joe Wright,Fantasy,-22.0
145000000,Mr. Peabody & Sherman,2014-02-07,272912430,92.0,6.7,Ty Burrell,Max Charles,Ariel Winter,Rob Minkoff,Adventure,128.0
175000000,Troy,2004-05-13,497409852,163.0,6.9,Brad Pitt,Orlando Bloom,Eric Bana,Wolfgang Petersen,Drama,322.0
145000000,Madagascar 3: Europe's Most Wanted,2012-06-06,746921274,93.0,6.4,Ben Stiller,Sacha Baron Cohen,David Schwimmer,Conrad Vernon,Animation,602.0
140000000,Die Another Day,2002-11-17,431971116,133.0,5.8,Pierce Brosnan,Halle Berry,Rosamund Pike,Lee Tamahori,Thriller,292.0
144000000,Ghostbusters,2016-07-14,229147509,116.0,5.3,Melissa McCarthy,Kristen Wiig,Kate McKinnon,Paul Feig,Action,85.0
140000000,Armageddon,1998-07-01,553799566,151.0,6.4,Bruce Willis,Billy Bob Thornton,Ben Affleck,Michael Bay,Action,414.0
140000000,Men in Black II,2002-07-03,441818803,88.0,6.0,Tommy Lee Jones,Will Smith,Rip Torn,Barry Sonnenfeld,Adventure,302.0
70000000,Beowulf,2007-11-05,195735876,115.0,5.5,Ray Winstone,Angelina Jolie,Anthony Hopkins,Robert Zemeckis,Action,126.0
145000000,Kung Fu Panda 3,2016-01-23,521170825,95.0,6.7,Jack Black,Bryan Cranston,Dustin Hoffman,Jennifer Yuh Nelson,Family,376.0
145000000,Mission: Impossible - Ghost Protocol,2011-12-07,694713380,133.0,6.8,Tom Cruise,Jeremy Renner,Simon Pegg,Brad Bird,Adventure,550.0
145000000,Rise of the Guardians,2012-11-21,306941670,97.0,7.1,Chris Pine,Alec Baldwin,Jude Law,Peter Ramsey,Family,162.0
100000000,Fun with Dick and Jane,2005-12-21,202026112,90.0,5.9,Jim Carrey,Téa Leoni,Alec Baldwin,Dean Parisot,Comedy,102.0
140000000,The Last Samurai,2003-12-05,456758981,154.0,7.3,Tom Cruise,Ken Watanabe,William Atherton,Edward Zwick,History,317.0
140000000,Exodus: Gods and Kings,2014-12-03,268031828,150.0,5.6,Christian Bale,Joel Edgerton,John Turturro,Ridley Scott,Drama,128.0
150000000,Star Trek,2009-05-06,385680446,127.0,7.4,Chris Pine,Zachary Quinto,Leonard Nimoy,J.J. Abrams,Action,236.0
139000000,Spider-Man,2002-05-01,821708551,121.0,6.8,Tobey Maguire,Willem Dafoe,Kirsten Dunst,Sam Raimi,Action,683.0
145000000,How to Train Your Dragon 2,2014-06-12,609123048,102.0,7.6,Jay Baruchel,Gerard Butler,Kristen Wiig,Dean DeBlois,Fantasy,464.0
140000000,Gods of Egypt,2016-02-25,150680864,127.0,5.3,Brenton Thwaites,Nikolaj Coster-Waldau,Gerard Butler,Alex Proyas,Fantasy,11.0
135000000,Stealth,2005-07-28,76932943,121.0,4.9,Josh Lucas,Jessica Biel,Jamie Foxx,Rob Cohen,Action,-58.0
130000000,Watchmen,2009-03-05,185258983,163.0,7.0,Malin Åkerman,Billy Crudup,Carla Gugino,Zack Snyder,Science Fiction,55.0
140000000,Lethal Weapon 4,1998-07-10,285444603,127.0,6.3,Mel Gibson,Danny Glover,Joe Pesci,Richard Donner,Adventure,145.0
137000000,Hulk,2003-06-19,245360480,138.0,5.3,Eric Bana,Jennifer Connelly,Sam Elliott,Ang Lee,Action,108.0
130000000,G.I. Joe: Retaliation,2013-03-26,371876278,110.0,5.4,Dwayne Johnson,D.J. Cotrona,Adrianne Palicki,Jon M. Chu,Adventure,242.0
130000000,Sahara,2005-04-06,119269486,124.0,5.7,Matthew McConaughey,Penélope Cruz,Steve Zahn,Breck Eisner,Adventure,-11.0
137000000,Final Fantasy: The Spirits Within,2001-07-02,85131830,106.0,5.9,Donald Sutherland,Ming-Na Wen,Alec Baldwin,Hironobu Sakaguchi,Action,-52.0
140000000,Captain America: The First Avenger,2011-07-22,370569774,124.0,6.6,Chris Evans,Hugo Weaving,Tommy Lee Jones,Joe Johnston,Action,231.0
135000000,The World Is Not Enough,1999-11-08,361832400,128.0,6.0,Pierce Brosnan,Sophie Marceau,Robert Carlyle,Michael Apted,Thriller,227.0
150000000,Master and Commander: The Far Side of the World,2003-11-14,212011111,138.0,6.9,Russell Crowe,Paul Bettany,James D'Arcy,Peter Weir,Adventure,62.0
120000000,The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,829000000,115.0,6.1,Kristen Stewart,Robert Pattinson,Taylor Lautner,Bill Condon,Romance,709.0
130000000,Happy Feet Two,2011-11-17,150406466,100.0,5.8,Elijah Wood,Robin Williams,Pink,George Miller,Family,20.0
150000000,The Incredible Hulk,2008-06-12,163712074,114.0,6.1,Edward Norton,Liv Tyler,Tim Roth,Louis Leterrier,Science Fiction,14.0
140000000,The BFG,2016-06-01,183345589,120.0,6.0,Ruby Barnhill,Mark Rylance,Rebecca Hall,Steven Spielberg,Fantasy,43.0
135000000,The Revenant,2015-12-25,532950503,156.0,7.3,Leonardo DiCaprio,Tom Hardy,Will Poulter,Alejandro González Iñárritu,Thriller,398.0
135000000,Turbo,2013-07-11,282570682,96.0,6.1,Ryan Reynolds,Paul Giamatti,Michael Peña,David Soren,Family,148.0
135000000,Rango,2011-03-02,245724603,107.0,6.6,Johnny Depp,Isla Fisher,Ned Beatty,Gore Verbinski,Comedy,111.0
132000000,Penguins of Madagascar,2014-11-22,373552094,92.0,6.5,Tom McGrath,Chris Miller,Christopher Knights,Eric Darnell,Comedy,242.0
70000000,The Bourne Ultimatum,2007-08-03,442824138,115.0,7.3,Matt Damon,Julia Stiles,David Strathairn,Paul Greengrass,Action,373.0
130000000,Kung Fu Panda,2008-06-04,631744560,90.0,6.9,Jack Black,Dustin Hoffman,Angelina Jolie,Mark Osborne,Adventure,502.0
130000000,Ant-Man,2015-07-14,519311965,117.0,7.0,Paul Rudd,Michael Douglas,Evangeline Lilly,Peyton Reed,Science Fiction,389.0
